country,iso_code,risk_zone,risk_score,flag_url,gdp_billion_usd,military_budget_billion_usd,active_personnel,combat_aircraft_count,relation_with_india,key_conflicts,geopolitical_stance,nuclear_capable,alliance
China,CN,Red,85,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/320px-Flag_of_the_People%27s_Republic_of_China.svg.png,17700,224,2000000,1571,"Hostile – ongoing border disputes (LAC), economic rivalry, nuclear-armed neighbour","1962 Sino-Indian War, Doklam standoff 2017, Galwan clashes 2020","Revisionist regional hegemon, BRI promoter, UNSC P5 member",TRUE,"SCO, BRICS (strategic rival to India)"
Pakistan,PK,Red,90,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/320px-Flag_of_Pakistan.svg.png,376,10.4,654000,425,"Hostile – three full-scale wars, cross-border terrorism, Kashmir dispute","1947, 1965, 1971 wars; Kargil 1999; ongoing LoC skirmishes",Nuclear-armed; close ally of China; CPEC partner,TRUE,"OIC, China-Pakistan Axis"
North Korea,KP,Red,75,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/320px-Flag_of_North_Korea.svg.png,18,4,1280000,563,Low direct risk; indirect threat via missile proliferation to adversaries,Korean War 1950-53; constant military provocations,Hermit kingdom; nuclear-armed; missile proliferator,TRUE,Isolated; tacit China support
Russia,RU,Yellow,45,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/320px-Flag_of_Russia.svg.png,1900,86,900000,1172,"Complex – major arms supplier, historical friend, but rapprochement with China and Pakistan concerns India",Ukraine War 2022-; Syria; Georgia 2008,Great power; UNSC P5; major arms exporter,TRUE,CSTO; SCO; BRICS
Iran,IR,Yellow,50,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/320px-Flag_of_Iran.svg.png,367,9.9,525000,337,Neutral-positive; Chabahar port partner; energy ties but concerns about proxy networks,Iran-Iraq War 1980-88; proxy conflicts in Middle East,Theocratic regional power; proxy warfare doctrine; near-nuclear,FALSE,SCO observer; Axis of Resistance
Turkey,TR,Yellow,40,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/320px-Flag_of_Turkey.svg.png,1154,18.5,355000,207,Neutral; supports Pakistan on Kashmir; growing economic ties with India,Syria; Libya; Nagorno-Karabakh (support); Cyprus,NATO member but increasingly independent; major drone exporter,FALSE,NATO (strained); OIC
Saudi Arabia,SA,Yellow,30,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/320px-Flag_of_Saudi_Arabia.svg.png,1108,75,257000,234,Positive economic ties; large Indian diaspora; growing defence engagement,Yemen War 2015-; Gulf War 1991,US-aligned; oil power; normalization with Israel,FALSE,GCC; Arab League; US strategic partner
India,IN,Green,0,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/320px-Flag_of_India.svg.png,3730,81.4,1460000,630,Home country – reference nation,"1947, 1965, 1971 wars with Pakistan; 1962 with China; Kargil 1999",Strategic autonomy; world's largest democracy; QUAD member,TRUE,QUAD; SCO; BRICS; Non-Aligned
USA,US,Green,5,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/320px-Flag_of_the_United_States.svg.png,27360,886,1400000,2085,"Strategic partner – QUAD ally, major defence supplier (P-8I, C-17, Apache), tech cooperation","Iraq, Afghanistan, Gulf War; proxy conflicts globally",Global hegemon; NATO leader; Indo-Pacific pivot,TRUE,NATO; AUKUS; QUAD
France,FR,Green,5,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/320px-Flag_of_France.svg.png,3050,59,205000,254,"Privileged strategic partner – Rafale deal, submarine cooperation, IOR alignment",Mali; Libya; Gulf War,EU/NATO leader; independent nuclear deterrent; active Indo-Pacific presence,TRUE,NATO; EU
United Kingdom,GB,Green,5,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/320px-Flag_of_the_United_Kingdom.svg.png,3090,68,150000,152,"Positive – JETCO FTA negotiations, defence tech tie-ups, strong diaspora links",Iraq; Afghanistan; Falklands; Gulf War,Post-Brexit global Britain; AUKUS member; P5 UNSC,TRUE,NATO; AUKUS; Five Eyes
Israel,IL,Green,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/320px-Flag_of_Israel.svg.png,528,23.5,170000,241,"Strong partner – biggest importer of Israeli defence tech (Barak-8, Heron, Spike missiles)",Arab-Israeli Wars; Gaza; Lebanon; Iran proxy conflicts,Regional nuclear power (undeclared); world's best iron-dome layered air defence,TRUE,US-aligned; Abraham Accords; India partnership
Japan,JP,Green,5,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/320px-Flag_of_Japan.svg.png,4200,51,247000,363,Positive – Japan-India Special Strategic and Global Partnership; QUAD ally,WWII; no active conflicts post-1945,Pacifist constitution (evolving); US treaty ally; major naval power,FALSE,US-Japan Treaty; QUAD
Australia,AU,Green,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/320px-Flag_of_Australia.svg.png,1720,32,60000,106,Positive – Comprehensive Strategic Partnership; QUAD ally; Malabar exercise participant,Iraq; Afghanistan,AUKUS nuclear submarine partner; Five Eyes; Indo-Pacific focus,FALSE,AUKUS; QUAD; Five Eyes; US alliance
